Date,Close/Last,Open,High,Low
08/07/2024,5199.50,5293.13,5330.64,5195.54
08/06/2024,5240.03,5206.42,5312.34,5193.56
08/05/2024,5186.33,5151.14,5250.89,5119.26
08/02/2024,5346.56,5376.63,5383.89,5302.03
08/01/2024,5446.68,5537.84,5566.16,5410.42
07/31/2024,5522.30,5505.59,5551.51,5493.75
07/30/2024,5436.44,5478.73,5489.46,5401.70
07/29/2024,5463.54,5476.55,5487.74,5444.44
07/26/2024,5459.10,5433.67,5488.32,5430.70
07/25/2024,5399.22,5428.70,5491.59,5390.95
07/24/2024,5427.13,5505.84,5508.04,5419.98
07/23/2024,5555.74,5565.30,5585.34,5550.90
07/22/2024,5564.41,5544.54,5570.36,5529.04
07/19/2024,5505.00,5543.37,5557.50,5497.04
07/18/2024,5544.59,5608.56,5614.05,5522.81
07/17/2024,5588.27,5610.07,5622.49,5584.81
07/16/2024,5667.20,5644.09,5669.67,5639.02
07/15/2024,5631.22,5638.16,5666.94,5614.75
07/12/2024,5615.35,5590.76,5655.56,5590.44
07/11/2024,5584.54,5635.21,5642.45,5576.53
07/10/2024,5633.91,5591.26,5635.39,5586.44
07/09/2024,5576.98,5584.24,5590.75,5574.57
07/08/2024,5572.85,5572.75,5583.11,5562.51
07/05/2024,5567.19,5537.91,5570.33,5531.63
07/03/2024,5537.02,5507.44,5539.27,5507.42
07/02/2024,5509.01,5461.84,5509.69,5458.43
07/01/2024,5475.09,5471.08,5479.55,5446.53
06/28/2024,5460.48,5488.48,5523.64,5451.12
06/27/2024,5482.87,5473.59,5490.81,5467.54
06/26/2024,5477.90,5460.71,5483.14,5451.87
06/25/2024,5469.30,5460.73,5472.88,5446.56
06/24/2024,5447.87,5459.58,5490.66,5447.59
06/21/2024,5464.62,5466.77,5478.31,5452.03
06/20/2024,5473.17,5499.99,5505.53,5455.56
06/18/2024,5487.03,5476.15,5490.38,5471.32
06/17/2024,5473.23,5431.11,5488.50,5420.40
06/14/2024,5431.60,5424.08,5432.39,5403.75
06/13/2024,5433.74,5441.93,5441.93,5402.51
06/12/2024,5421.03,5409.13,5447.25,5409.13
06/11/2024,5375.32,5353.00,5375.95,5327.25
06/10/2024,5360.79,5341.22,5365.79,5331.52
06/07/2024,5346.99,5343.81,5375.08,5331.33
06/06/2024,5352.96,5357.80,5362.35,5335.36
06/05/2024,5354.03,5314.48,5354.16,5297.64
06/04/2024,5291.34,5278.24,5298.80,5257.63
06/03/2024,5283.40,5297.15,5302.11,5234.32
05/31/2024,5277.51,5243.21,5280.33,5191.68
05/30/2024,5235.48,5259.77,5260.21,5222.10
05/29/2024,5266.95,5278.73,5282.27,5262.70
05/28/2024,5306.04,5315.91,5315.91,5280.89
05/24/2024,5304.72,5281.45,5311.65,5278.39
05/23/2024,5267.84,5340.26,5341.88,5256.93
05/22/2024,5307.01,5319.28,5323.18,5286.01
05/21/2024,5321.41,5298.69,5324.32,5297.87
05/20/2024,5308.13,5305.35,5325.32,5302.40
05/17/2024,5303.27,5303.10,5305.45,5283.59
05/16/2024,5297.10,5310.07,5325.49,5296.19
05/15/2024,5308.15,5263.26,5311.76,5263.26
05/14/2024,5246.68,5221.10,5250.37,5217.98
05/13/2024,5221.42,5233.08,5237.26,5211.16
05/10/2024,5222.68,5225.49,5239.66,5209.68
05/09/2024,5214.08,5189.03,5215.30,5180.41
05/08/2024,5187.67,5168.98,5191.95,5165.86
05/07/2024,5187.70,5187.20,5200.23,5178.96
05/06/2024,5180.74,5142.42,5181.00,5142.42
05/03/2024,5127.79,5122.78,5139.12,5101.22
05/02/2024,5064.20,5049.32,5073.21,5011.05
05/01/2024,5018.39,5029.03,5096.12,5013.45
04/30/2024,5035.69,5103.78,5110.83,5035.31
04/29/2024,5116.17,5114.13,5123.49,5088.65
04/26/2024,5099.96,5084.65,5114.62,5073.14
04/25/2024,5048.42,5019.88,5057.75,4990.58
04/24/2024,5071.63,5084.86,5089.48,5047.02
04/23/2024,5070.55,5028.85,5076.12,5027.96
04/22/2024,5010.60,4987.33,5038.84,4969.40
04/19/2024,4967.23,5005.44,5019.02,4953.56
04/18/2024,5011.12,5031.52,5056.66,5001.89
04/17/2024,5022.21,5068.97,5077.96,5007.25
04/16/2024,5051.41,5064.59,5079.84,5039.83
04/15/2024,5061.82,5149.67,5168.43,5052.47
04/12/2024,5123.41,5171.51,5175.03,5107.94
04/11/2024,5199.06,5172.95,5211.78,5138.77
04/10/2024,5160.64,5167.88,5178.43,5138.70
04/09/2024,5209.91,5217.03,5224.81,5160.78
04/08/2024,5202.39,5211.37,5219.57,5197.35
04/05/2024,5204.34,5158.95,5222.18,5157.21
04/04/2024,5147.21,5244.05,5256.59,5146.06
04/03/2024,5211.49,5194.37,5228.75,5194.37
04/02/2024,5205.81,5204.29,5208.34,5184.05
04/01/2024,5243.77,5257.97,5263.95,5229.20
03/28/2024,5254.35,5248.03,5264.85,5245.82
03/27/2024,5248.49,5226.31,5249.26,5213.92
03/26/2024,5203.58,5228.85,5235.16,5203.42
03/25/2024,5218.19,5219.52,5229.09,5216.09
03/22/2024,5234.18,5242.48,5246.09,5229.87
03/21/2024,5241.53,5253.43,5261.10,5240.66
03/20/2024,5224.62,5181.69,5226.19,5171.55
03/19/2024,5178.51,5139.09,5180.31,5131.59
03/18/2024,5149.42,5154.77,5175.60,5145.47
03/15/2024,5117.09,5123.31,5136.86,5104.35
03/14/2024,5150.48,5175.14,5176.85,5123.30
03/13/2024,5165.31,5173.49,5179.14,5151.88
03/12/2024,5175.27,5134.30,5179.87,5114.48
03/11/2024,5117.94,5111.96,5124.66,5091.14
03/08/2024,5123.69,5164.46,5189.26,5117.50
03/07/2024,5157.36,5132.38,5165.62,5128.21
03/06/2024,5104.76,5108.03,5127.97,5092.22
03/05/2024,5078.65,5110.52,5114.54,5056.82
03/04/2024,5130.95,5130.99,5149.67,5127.18
03/01/2024,5137.08,5098.51,5140.33,5094.16
02/29/2024,5096.27,5085.36,5104.99,5061.89
02/28/2024,5069.76,5067.20,5077.37,5058.35
02/27/2024,5078.18,5074.60,5080.69,5057.29
02/26/2024,5069.53,5093.00,5097.66,5068.91
02/23/2024,5088.80,5100.92,5111.06,5081.46
02/22/2024,5087.03,5038.83,5094.39,5038.83
02/21/2024,4981.80,4963.03,4983.21,4946.00
02/20/2024,4975.51,4989.32,4993.71,4955.02
02/16/2024,5005.57,5031.13,5038.70,4999.52
02/15/2024,5029.73,5003.14,5032.72,4999.44
02/14/2024,5000.62,4976.44,5002.52,4956.45
02/13/2024,4953.17,4967.94,4971.30,4920.31
02/12/2024,5021.84,5026.83,5048.39,5016.83
02/09/2024,5026.61,5004.17,5030.06,5000.34
02/08/2024,4997.91,4995.16,5000.40,4987.09
02/07/2024,4995.06,4973.05,4999.89,4969.05
02/06/2024,4954.23,4950.16,4957.77,4934.88
02/05/2024,4942.81,4957.19,4957.19,4918.09
02/02/2024,4958.61,4916.06,4975.29,4907.99
02/01/2024,4906.19,4861.11,4906.97,4853.52
01/31/2024,4845.65,4899.19,4906.75,4845.15
01/30/2024,4924.97,4925.89,4931.09,4916.27
01/29/2024,4927.93,4892.95,4929.31,4887.40
01/26/2024,4890.97,4888.91,4906.69,4881.47
01/25/2024,4894.16,4886.66,4898.15,4869.34
01/24/2024,4868.55,4888.56,4903.68,4865.94
01/23/2024,4864.60,4856.80,4866.48,4844.37
01/22/2024,4850.43,4853.42,4868.41,4844.05
01/19/2024,4839.81,4796.28,4842.07,4785.87
01/18/2024,4780.94,4760.10,4785.79,4740.57
01/17/2024,4739.21,4739.13,4744.23,4714.82
01/16/2024,4765.98,4772.35,4782.34,4747.12
01/12/2024,4783.83,4791.18,4802.40,4768.98
01/11/2024,4780.24,4792.13,4798.50,4739.58
01/10/2024,4783.45,4759.94,4790.80,4756.20
01/09/2024,4756.50,4741.93,4765.47,4730.35
01/08/2024,4763.54,4703.70,4764.54,4699.82
01/05/2024,4697.24,4690.57,4721.49,4682.11
01/04/2024,4688.68,4697.42,4726.78,4687.53
01/03/2024,4704.81,4725.07,4729.29,4699.71
01/02/2024,4742.83,4745.20,4754.33,4722.67
12/29/2023,4769.83,4782.88,4788.43,4751.99
12/28/2023,4783.35,4786.44,4793.30,4780.98
12/27/2023,4781.58,4773.45,4785.39,4768.90
12/26/2023,4774.75,4758.86,4784.72,4758.45
12/22/2023,4754.63,4753.92,4772.94,4736.77
12/21/2023,4746.75,4724.29,4748.71,4708.35
12/20/2023,4698.35,4764.73,4778.01,4697.82
12/19/2023,4768.37,4743.72,4768.69,4743.72
12/18/2023,4740.56,4725.58,4749.52,4725.58
12/15/2023,4719.19,4714.23,4725.53,4704.69
12/14/2023,4719.55,4721.04,4738.57,4694.34
12/13/2023,4707.09,4646.20,4709.69,4643.23
12/12/2023,4643.70,4618.30,4643.93,4608.09
12/11/2023,4622.44,4593.39,4623.71,4593.39
12/08/2023,4604.37,4576.20,4609.23,4574.06
12/07/2023,4585.59,4568.84,4590.92,4565.22
12/06/2023,4549.34,4586.23,4590.74,4546.50
12/05/2023,4567.18,4557.25,4578.56,4551.68
12/04/2023,4569.78,4564.37,4572.37,4546.72
12/01/2023,4594.63,4559.43,4599.39,4554.71
11/30/2023,4567.80,4554.87,4569.89,4537.24
11/29/2023,4550.58,4571.84,4587.64,4547.15
11/28/2023,4554.89,4545.55,4568.14,4540.51
11/27/2023,4550.43,4554.86,4560.52,4546.32
11/24/2023,4559.34,4555.84,4560.31,4552.80
11/22/2023,4556.62,4553.04,4568.43,4545.05
11/21/2023,4538.19,4538.77,4542.14,4525.51
11/20/2023,4547.38,4511.70,4557.11,4510.36
11/17/2023,4514.02,4509.55,4520.12,4499.66
11/16/2023,4508.24,4497.08,4511.99,4487.83
11/15/2023,4502.88,4505.30,4521.17,4495.31
11/14/2023,4495.70,4458.97,4508.67,4458.97
11/13/2023,4411.55,4406.66,4421.76,4393.82
11/10/2023,4415.24,4364.15,4418.03,4353.34
11/09/2023,4347.35,4391.41,4393.40,4343.94
11/08/2023,4382.78,4384.37,4391.20,4359.76
11/07/2023,4378.38,4366.21,4386.26,4355.41
11/06/2023,4365.98,4364.27,4372.21,4347.53
11/03/2023,4358.34,4334.23,4373.62,4334.23
11/02/2023,4317.78,4268.26,4319.72,4268.26
11/01/2023,4237.86,4201.27,4245.64,4197.74
10/31/2023,4193.80,4171.33,4195.55,4153.12
